i,k,density,pressure,temperature,velocity_x,velocity_y,velocity_z,magnetic_x,magnetic_y,magnetic_z
0,0,1,1,1,nan,-nan(ind),-nan(ind),0.575,0.575,0
0,1,1,1.03333,1.03333,-nan(ind),-nan(ind),-nan(ind),0.575,0.575,0
0,2,1,1.06667,1.06667,nan,-nan(ind),nan,0.575,0.575,0
0,3,1,1.1,1.1,nan,-nan(ind),-nan(ind),0.575,0.575,0
0,4,1,1.13333,1.13333,-nan(ind),-nan(ind),-nan(ind),0.575,0.575,0
0,5,1,1.16667,1.16667,-nan(ind),-nan(ind),nan,0.575,0.575,0
0,6,1,1.2,1.2,nan,-nan(ind),-nan(ind),0.575,0.575,0
0,7,1,1.23333,1.23333,-nan(ind),-nan(ind),nan,0.575,0.575,0
0,8,1,1.26667,1.26667,nan,-nan(ind),nan,0.575,0.575,0
0,9,1,1.3,1.3,-nan(ind),-nan(ind),-nan(ind),0.575,0.575,0
0,10,1,1.33333,1.33333,nan,-nan(ind),nan,0.575,0.575,0
0,11,1,1.36667,1.36667,-nan(ind),-nan(ind),-nan(ind),0.575,0.575,0
0,12,1,1.4,1.4,-nan(ind),-nan(ind),nan,0.575,0.575,0
0,13,1,1.43333,1.43333,nan,-nan(ind),nan,0.575,0.575,0
0,14,1,1.46667,1.46667,-nan(ind),-nan(ind),-nan(ind),0.575,0.575,0
0,15,1,1.5,1.5,-nan(ind),-nan(ind),nan,0.575,0.575,0
0,16,1,1.53333,1.53333,nan,-nan(ind),nan,0.575,0.575,0
0,17,1,1.56667,1.56667,nan,-nan(ind),-nan(ind),0.575,0.575,0
0,18,1,1.6,1.6,-nan(ind),-nan(ind),-nan(ind),0.575,0.575,0
0,19,1,1.63333,1.63333,nan,-nan(ind),nan,0.575,0.575,0
0,20,1,1.66667,1.66667,-nan(ind),-nan(ind),-nan(ind),0.575,0.575,0
0,21,1,1.7,1.7,nan,-nan(ind),nan,0.575,0.575,0
0,22,1,1.73333,1.73333,-nan(ind),-nan(ind),-nan(ind),0.575,0.575,0
0,23,1,1.76667,1.76667,nan,-nan(ind),nan,0.575,0.575,0
0,24,1,1.8,1.8,-nan(ind),-nan(ind),-nan(ind),0.575,0.575,0
0,25,1,1.83333,1.83333,nan,-nan(ind),nan,0.575,0.575,0
0,26,1,1.86667,1.86667,-nan(ind),-nan(ind),-nan(ind),0.575,0.575,0
0,27,1,1.9,1.9,nan,-nan(ind),nan,0.575,0.575,0
0,28,1,1.93333,1.93333,nan,-nan(ind),-nan(ind),0.575,0.575,0
0,29,1,1.96667,1.96667,-nan(ind),-nan(ind),-nan(ind),0.575,0.575,0
1,0,1.01667,1.01667,1,-nan(ind),-nan(ind),nan,0.575,0.575,0
1,1,1.01667,1.05056,1.03333,nan,nan,-nan(ind),0.575,0.575,0
1,2,1.01667,1.08444,1.06667,-nan(ind),nan,-nan(ind),0.575,0.575,0
1,3,1.01667,1.11833,1.1,-nan(ind),-nan(ind),nan,0.575,0.575,0
1,4,1.01667,1.15222,1.13333,nan,-nan(ind),nan,0.575,0.575,0
1,5,1.01667,1.18611,1.16667,nan,nan,-nan(ind),0.575,0.575,0
1,6,1.01667,1.22,1.2,-nan(ind),-nan(ind),nan,0.575,0.575,0
1,7,1.01667,1.25389,1.23333,nan,nan,-nan(ind),0.575,0.575,0
1,8,1.01667,1.28778,1.26667,-nan(ind),-nan(ind),-nan(ind),0.575,0.575,0
1,9,1.01667,1.32167,1.3,nan,nan,nan,0.575,0.575,0
1,10,1.01667,1.35556,1.33333,-nan(ind),-nan(ind),-nan(ind),0.575,0.575,0
1,11,1.01667,1.38944,1.36667,nan,-nan(ind),nan,0.575,0.575,0
1,12,1.01667,1.42333,1.4,nan,nan,-nan(ind),0.575,0.575,0
1,13,1.01667,1.45722,1.43333,-nan(ind),-nan(ind),-nan(ind),0.575,0.575,0
1,14,1.01667,1.49111,1.46667,nan,-nan(ind),nan,0.575,0.575,0
1,15,1.01667,1.525,1.5,nan,nan,-nan(ind),0.575,0.575,0
1,16,1.01667,1.55889,1.53333,-nan(ind),nan,-nan(ind),0.575,0.575,0
1,17,1.01667,1.59278,1.56667,-nan(ind),-nan(ind),nan,0.575,0.575,0
1,18,1.01667,1.62667,1.6,nan,nan,nan,0.575,0.575,0
1,19,1.01667,1.66056,1.63333,-nan(ind),-nan(ind),-nan(ind),0.575,0.575,0
1,20,1.01667,1.69444,1.66667,nan,nan,nan,0.575,0.575,0
1,21,1.01667,1.72833,1.7,-nan(ind),-nan(ind),-nan(ind),0.575,0.575,0
1,22,1.01667,1.76222,1.73333,nan,nan,nan,0.575,0.575,0
1,23,1.01667,1.79611,1.76667,-nan(ind),-nan(ind),-nan(ind),0.575,0.575,0
1,24,1.01667,1.83,1.8,nan,nan,nan,0.575,0.575,0
1,25,1.01667,1.86389,1.83333,-nan(ind),-nan(ind),-nan(ind),0.575,0.575,0
1,26,1.01667,1.89778,1.86667,nan,nan,nan,0.575,0.575,0
1,27,1.01667,1.93167,1.9,-nan(ind),nan,-nan(ind),0.575,0.575,0
1,28,1.01667,1.96556,1.93333,-nan(ind),-nan(ind),nan,0.575,0.575,0
1,29,1.01667,1.99944,1.96667,nan,nan,-nan(ind),0.575,0.575,0
2,0,1.03333,1.03333,1,nan,nan,-nan(ind),0.575,0.575,0
2,1,1.03333,1.06778,1.03333,-nan(ind),-nan(ind),nan,0.575,0.575,0
2,2,1.03333,1.10222,1.06667,nan,-nan(ind),nan,0.575,0.575,0
2,3,1.03333,1.13667,1.1,nan,nan,-nan(ind),0.575,0.575,0
2,4,1.03333,1.17111,1.13333,-nan(ind),nan,-nan(ind),0.575,0.575,0
2,5,1.03333,1.20556,1.16667,-nan(ind),-nan(ind),nan,0.575,0.575,0
2,6,1.03333,1.24,1.2,nan,nan,-nan(ind),0.575,0.575,0
2,7,1.03333,1.27444,1.23333,-nan(ind),-nan(ind),nan,0.575,0.575,0
2,8,1.03333,1.30889,1.26667,nan,nan,nan,0.575,0.575,0
2,9,1.03333,1.34333,1.3,-nan(ind),-nan(ind),-nan(ind),0.575,0.575,0
2,10,1.03333,1.37778,1.33333,nan,nan,nan,0.575,0.575,0
2,11,1.03333,1.41222,1.36667,-nan(ind),nan,-nan(ind),0.575,0.575,0
2,12,1.03333,1.44667,1.4,-nan(ind),-nan(ind),nan,0.575,0.575,0
