i,j,density,pressure,temperature,velocity_x,velocity_y,velocity_z,magnetic_x,magnetic_y,magnetic_z
0,0,1,1.5,1.5,nan,-nan(ind),-nan(ind),0.5,0.5,0
0,1,1,1.5,1.5,nan,-nan(ind),-nan(ind),0.505,0.505,0
0,2,1,1.5,1.5,-nan(ind),nan,nan,0.51,0.51,0
0,3,1,1.5,1.5,nan,-nan(ind),-nan(ind),0.515,0.515,0
0,4,1,1.5,1.5,-nan(ind),nan,-nan(ind),0.52,0.52,0
0,5,1,1.5,1.5,nan,nan,-nan(ind),0.525,0.525,0
0,6,1,1.5,1.5,-nan(ind),-nan(ind),nan,0.53,0.53,0
0,7,1,1.5,1.5,nan,nan,nan,0.535,0.535,0
0,8,1,1.5,1.5,-nan(ind),-nan(ind),nan,0.54,0.54,0
0,9,1,1.5,1.5,nan,-nan(ind),-nan(ind),0.545,0.545,0
0,10,1,1.5,1.5,nan,nan,-nan(ind),0.55,0.55,0
0,11,1,1.5,1.5,-nan(ind),-nan(ind),nan,0.555,0.555,0
0,12,1,1.5,1.5,nan,nan,-nan(ind),0.56,0.56,0
0,13,1,1.5,1.5,-nan(ind),-nan(ind),nan,0.565,0.565,0
0,14,1,1.5,1.5,nan,nan,-nan(ind),0.57,0.57,0
0,15,1,1.5,1.5,-nan(ind),-nan(ind),nan,0.575,0.575,0
0,16,1,1.5,1.5,nan,nan,-nan(ind),0.58,0.58,0
0,17,1,1.5,1.5,-nan(ind),-nan(ind),nan,0.585,0.585,0
0,18,1,1.5,1.5,nan,nan,-nan(ind),0.59,0.59,0
0,19,1,1.5,1.5,-nan(ind),-nan(ind),nan,0.595,0.595,0
0,20,1,1.5,1.5,nan,nan,-nan(ind),0.6,0.6,0
0,21,1,1.5,1.5,-nan(ind),-nan(ind),nan,0.605,0.605,0
0,22,1,1.5,1.5,nan,nan,-nan(ind),0.61,0.61,0
0,23,1,1.5,1.5,-nan(ind),-nan(ind),nan,0.615,0.615,0
0,24,1,1.5,1.5,nan,nan,-nan(ind),0.62,0.62,0
0,25,1,1.5,1.5,-nan(ind),-nan(ind),nan,0.625,0.625,0
0,26,1,1.5,1.5,nan,nan,-nan(ind),0.63,0.63,0
0,27,1,1.5,1.5,-nan(ind),-nan(ind),nan,0.635,0.635,0
0,28,1,1.5,1.5,nan,-nan(ind),-nan(ind),0.64,0.64,0
0,29,1,1.5,1.5,nan,-nan(ind),-nan(ind),0.645,0.645,0
1,0,1.01667,1.525,1.5,-nan(ind),-nan(ind),nan,0.5,0.5,0
1,1,1.01667,1.525,1.5,-nan(ind),-nan(ind),nan,0.505,0.505,0
1,2,1.01667,1.525,1.5,nan,nan,-nan(ind),0.51,0.51,0
1,3,1.01667,1.525,1.5,-nan(ind),-nan(ind),nan,0.515,0.515,0
1,4,1.01667,1.525,1.5,nan,nan,nan,0.52,0.52,0
1,5,1.01667,1.525,1.5,-nan(ind),-nan(ind),nan,0.525,0.525,0
1,6,1.01667,1.525,1.5,nan,nan,-nan(ind),0.53,0.53,0
1,7,1.01667,1.525,1.5,-nan(ind),-nan(ind),-nan(ind),0.535,0.535,0
1,8,1.01667,1.525,1.5,nan,nan,-nan(ind),0.54,0.54,0
1,9,1.01667,1.525,1.5,-nan(ind),-nan(ind),nan,0.545,0.545,0
1,10,1.01667,1.525,1.5,-nan(ind),-nan(ind),nan,0.55,0.55,0
1,11,1.01667,1.525,1.5,nan,nan,-nan(ind),0.555,0.555,0
1,12,1.01667,1.525,1.5,-nan(ind),-nan(ind),nan,0.56,0.56,0
1,13,1.01667,1.525,1.5,nan,nan,-nan(ind),0.565,0.565,0
1,14,1.01667,1.525,1.5,-nan(ind),-nan(ind),nan,0.57,0.57,0
1,15,1.01667,1.525,1.5,nan,nan,-nan(ind),0.575,0.575,0
1,16,1.01667,1.525,1.5,-nan(ind),-nan(ind),nan,0.58,0.58,0
1,17,1.01667,1.525,1.5,nan,nan,-nan(ind),0.585,0.585,0
1,18,1.01667,1.525,1.5,-nan(ind),-nan(ind),nan,0.59,0.59,0
1,19,1.01667,1.525,1.5,nan,nan,-nan(ind),0.595,0.595,0
1,20,1.01667,1.525,1.5,-nan(ind),-nan(ind),nan,0.6,0.6,0
1,21,1.01667,1.525,1.5,nan,nan,-nan(ind),0.605,0.605,0
1,22,1.01667,1.525,1.5,-nan(ind),-nan(ind),nan,0.61,0.61,0
1,23,1.01667,1.525,1.5,nan,nan,-nan(ind),0.615,0.615,0
1,24,1.01667,1.525,1.5,-nan(ind),-nan(ind),nan,0.62,0.62,0
1,25,1.01667,1.525,1.5,nan,nan,-nan(ind),0.625,0.625,0
1,26,1.01667,1.525,1.5,-nan(ind),-nan(ind),nan,0.63,0.63,0
1,27,1.01667,1.525,1.5,nan,nan,-nan(ind),0.635,0.635,0
1,28,1.01667,1.525,1.5,-nan(ind),-nan(ind),nan,0.64,0.64,0
1,29,1.01667,1.525,1.5,-nan(ind),-nan(ind),nan,0.645,0.645,0
2,0,1.03333,1.55,1.5,nan,nan,-nan(ind),0.5,0.5,0
2,1,1.03333,1.55,1.5,nan,nan,-nan(ind),0.505,0.505,0
2,2,1.03333,1.55,1.5,-nan(ind),-nan(ind),nan,0.51,0.51,0
2,3,1.03333,1.55,1.5,nan,nan,-nan(ind),0.515,0.515,0
2,4,1.03333,1.55,1.5,-nan(ind),-nan(ind),-nan(ind),0.52,0.52,0
2,5,1.03333,1.55,1.5,nan,nan,-nan(ind),0.525,0.525,0
2,6,1.03333,1.55,1.5,-nan(ind),-nan(ind),nan,0.53,0.53,0
2,7,1.03333,1.55,1.5,nan,nan,nan,0.535,0.535,0
2,8,1.03333,1.55,1.5,-nan(ind),-nan(ind),nan,0.54,0.54,0
2,9,1.03333,1.55,1.5,nan,nan,-nan(ind),0.545,0.545,0
2,10,1.03333,1.55,1.5,nan,nan,-nan(ind),0.55,0.55,0
2,11,1.03333,1.55,1.5,-nan(ind),-nan(ind),nan,0.555,0.555,0
2,12,1.03333,1.55,1.5,nan,nan,-nan(ind),0.56,0.56,0
2,13,1.03333,1.55,1.5,-nan(ind),-nan(ind),nan,0.565,0.565,0
2,14,1.03333,1.55,1.5,nan,nan,-nan(ind),0.57,0.57,0
2,15,1.03333,1.55,1.5,-nan(ind),-nan(ind),nan,0.575,0.575,0
2,16,1.03333,1.55,1.5,nan,nan,-nan(ind),0.58,0.58,0
2,17,1.03333,1.55,1.5,-nan(ind),-nan(ind),nan,0.585,0.585,0
2,18,1.03333,1.55,1.5,nan,nan,-nan(ind),0.59,0.59,0
2,19,1.03333,1.55,1.5,-nan(ind),-nan(ind),nan,0.595,0.595,0
2,20,1.03333,1.55,1.5,nan,nan,-nan(ind),0.6,0.6,0
2,21,1.03333,1.55,1.5,-nan(ind),-nan(ind),nan,0.605,0.605,0
2,22,1.03333,1.55,1.5,nan,nan,-nan(ind),0.61,0.61,0
2,23,1.03333,1.55,1.5,-nan(ind),-nan(ind),nan,0.615,0.615,0
2,24,1.03333,1.55,1.5,nan,nan,-nan(ind),0.62,0.62,0
2,25,1.03333,1.55,1.5,-nan(ind),-nan(ind),nan,0.625,0.625,0
2,26,1.03333,1.55,1.5,nan,nan,-nan(ind),0.63,0.63,0
2,27,1.03333,1.55,1.5,-nan(ind),-nan(ind),nan,0.635,0.635,0
2,28,1.03333,1.55,1.5,nan,nan,-nan(ind),0.64,0.64,0
2,29,1.03333,1.55,1.5,nan,nan,-nan(ind),0.645,0.645,0
3,0,1.05,1.575,1.5,-nan(ind),-nan(ind),nan,0.5,0.5,0
3,1,1.05,1.575,1.5,-nan(ind),-nan(ind),nan,0.505,0.505,0
3,2,1.05,1.575,1.5,nan,nan,-nan(ind),0.51,0.51,0
3,3,1.05,1.575,1.5,-nan(ind),-nan(ind),nan,0.515,0.515,0
3,4,1.05,1.575,1.5,nan,nan,nan,0.52,0.52,0
3,5,1.05,1.575,1.5,-nan(ind),-nan(ind),nan,0.525,0.525,0
3,6,1.05,1.575,1.5,nan,nan,-nan(ind),0.53,0.53,0
3,7,1.05,1.575,1.5,-nan(ind),-nan(ind),-nan(ind),0.535,0.535,0
3,8,1.05,1.575,1.5,nan,nan,-nan(ind),0.54,0.54,0
3,9,1.05,1.575,1.5,-nan(ind),-nan(ind),nan,0.545,0.545,0
3,10,1.05,1.575,1.5,-nan(ind),-nan(ind),nan,0.55,0.55,0
3,11,1.05,1.575,1.5,nan,nan,-nan(ind),0.555,0.555,0
3,12,1.05,1.575,1.5,-nan(ind),-nan(ind),nan,0.56,0.56,0
3,13,1.05,1.575,1.5,nan,nan,-nan(ind),0.565,0.565,0
3,14,1.05,1.575,1.5,-nan(ind),-nan(ind),nan,0.57,0.57,0
3,15,1.05,1.575,1.5,nan,nan,-nan(ind),0.575,0.575,0
3,16,1.05,1.575,1.5,-nan(ind),-nan(ind),nan,0.58,0.58,0
3,17,1.05,1.575,1.5,nan,nan,-nan(ind),0.585,0.585,0
3,18,1.05,1.575,1.5,-nan(ind),-nan(ind),nan,0.59,0.59,0
3,19,1.05,1.575,1.5,nan,nan,-nan(ind),0.595,0.595,0
3,20,1.05,1.575,1.5,-nan(ind),-nan(ind),nan,0.6,0.6,0
3,21,1.05,1.575,1.5,nan,nan,-nan(ind),0.605,0.605,0
3,22,1.05,1.575,1.5,-nan(ind),-nan(ind),nan,0.61,0.61,0
3,23,1.05,1.575,1.5,nan,nan,-nan(ind),0.615,0.615,0
3,24,1.05,1.575,1.5,-nan(ind),-nan(ind),nan,0.62,0.62,0
3,25,1.05,1.575,1.5,nan,nan,-nan(ind),0.625,0.625,0
3,26,1.05,1.575,1.5,-nan(ind),-nan(ind),nan,0.63,0.63,0
3,27,1.05,1.575,1.5,nan,nan,-nan(ind),0.635,0.635,0
3,28,1.05,1.575,1.5,-nan(ind),-nan(ind),nan,0.64,0.64,0
3,29,1.05,1.575,1.5,-nan(ind),-nan(ind),nan,0.645,0.645,0
4,0,1.06667,1.6,1.5,nan,nan,-nan(ind),0.5,0.5,0
4,1,1.06667,1.6,1.5,nan,nan,-nan(ind),0.505,0.505,0
4,2,1.06667,1.6,1.5,-nan(ind),-nan(ind),nan,0.51,0.51,0
4,3,1.06667,1.6,1.5,nan,nan,-nan(ind),0.515,0.515,0
4,4,1.06667,1.6,1.5,-nan(ind),-nan(ind),-nan(ind),0.52,0.52,0
4,5,1.06667,1.6,1.5,nan,nan,-nan(ind),0.525,0.525,0
4,6,1.06667,1.6,1.5,-nan(ind),-nan(ind),nan,0.53,0.53,0
4,7,1.06667,1.6,1.5,nan,nan,nan,0.535,0.535,0
4,8,1.06667,1.6,1.5,-nan(ind),-nan(ind),nan,0.54,0.54,0
4,9,1.06667,1.6,1.5,nan,nan,-nan(ind),0.545,0.545,0
4,10,1.06667,1.6,1.5,nan,nan,-nan(ind),0.55,0.55,0
4,11,1.06667,1.6,1.5,-nan(ind),-nan(ind),nan,0.555,0.555,0
4,12,1.06667,1.6,1.5,nan,nan,-nan(ind),0.56,0.56,0
4,13,1.06667,1.6,1.5,-nan(ind),-nan(ind),nan,0.565,0.565,0
4,14,1.06667,1.6,1.5,nan,nan,-nan(ind),0.57,0.57,0
4,15,1.06667,1.6,1.5,-nan(ind),-nan(ind),nan,0.575,0.575,0
4,16,1.06667,1.6,1.5,nan,nan,-nan(ind),0.58,0.58,0
4,17,1.06667,1.6,1.5,-nan(ind),-nan(ind),nan,0.585,0.585,0
4,18,1.06667,1.6,1.5,nan,nan,-nan(ind),0.59,0.59,0
4,19,1.06667,1.6,1.5,-nan(ind),-nan(ind),nan,0.595,0.595,0
4,20,1.06667,1.6,1.5,nan,nan,-nan(ind),0.6,0.6,0
4,21,1.06667,1.6,1.5,-nan(ind),-nan(ind),nan,0.605,0.605,0
4,22,1.06667,1.6,1.5,nan,nan,-nan(ind),0.61,0.61,0
4,23,1.06667,1.6,1.5,-nan(ind),-nan(ind),nan,0.615,0.615,0
4,24,1.06667,1.6,1.5,nan,nan,-nan(ind),0.62,0.62,0
4,25,1.06667,1.6,1.5,-nan(ind),-nan(ind),nan,0.625,0.625,0
4,26,1.06667,1.6,1.5,nan,nan,-nan(ind),0.63,0.63,0
